Vardas                   Pavarde                  ND1ND        2ND        3ND        4ND        5Egz.      
Vardas7256               Pavarde7256              2         2         1         3         2         7         
Vardas7257               Pavarde7257              7         6         2         5         6         6         
Vardas7258               Pavarde7258              7         4         10        3         7         2         
Vardas7259               Pavarde7259              6         6         3         2         7         3         
Vardas7260               Pavarde7260              8         9         7         6         6         10        
Vardas7261               Pavarde7261              6         4         1         7         6         10        
Vardas7262               Pavarde7262              2         3         4         5         6         7         
Vardas7263               Pavarde7263              4         8         9         10        9         8         
Vardas7264               Pavarde7264              9         4         10        10        6         3         
Vardas7265               Pavarde7265              8         6         5         3         6         9         
Vardas7266               Pavarde7266              8         2         4         3         3         10        
Vardas7267               Pavarde7267              2         4         4         7         7         1         
Vardas7268               Pavarde7268              4         2         9         8         1         4         
Vardas7269               Pavarde7269              8         5         5         2         3         8         
Vardas7270               Pavarde7270              4         4         3         6         2         4         
Vardas7271               Pavarde7271              8         5         5         2         1         4         
Vardas7272               Pavarde7272              9         7         9         2         4         2         
Vardas7273               Pavarde7273              8         2         4         1         2         5         
Vardas7274               Pavarde7274              9         3         6         5         5         6         
Vardas7275               Pavarde7275              6         6         9         4         9         5         
Vardas7276               Pavarde7276              1         5         4         4         3         3         
Vardas7277               Pavarde7277              1         5         9         1         9         10        
Vardas7278               Pavarde7278              3         3         9         2         2         3         
Vardas7279               Pavarde7279              9         2         4         3         9         10        
Vardas7280               Pavarde7280              7         9         3         3         9         4         
Vardas7281               Pavarde7281              4         2         9         8         3         10        
Vardas7282               Pavarde7282              1         6         3         3         8         7         
Vardas7283               Pavarde7283              4         7         7         2         2         1         
Vardas7284               Pavarde7284              3         1         9         1         2         1         
Vardas7285               Pavarde7285              1         3         1         7         2         7         
Vardas7286               Pavarde7286              1         1         1         10        10        1         
Vardas7287               Pavarde7287              1         3         1         5         6         4         
Vardas7288               Pavarde7288              2         5         4         4         6         6         
Vardas7289               Pavarde7289              7         7         10        10        1         8         
Vardas7290               Pavarde7290              1         7         3         10        8         7         
Vardas7291               Pavarde7291              6         2         10        10        5         9         
Vardas7292               Pavarde7292              6         2         7         3         1         3         
Vardas7293               Pavarde7293              3         10        7         1         9         2         
Vardas7294               Pavarde7294              10        7         8         1         7         1         
Vardas7295               Pavarde7295              3         8         3         1         6         7         
Vardas7296               Pavarde7296              5         6         4         9         2         5         
Vardas7297               Pavarde7297              10        4         6         10        8         2         
Vardas7298               Pavarde7298              8         6         1         7         4         2         
Vardas7299               Pavarde7299              7         6         6         3         1         7         
Vardas7300               Pavarde7300              4         9         6         6         9         3         
Vardas7301               Pavarde7301              5         3         8         1         5         10        
Vardas7302               Pavarde7302              9         3         4         3         4         9         
Vardas7303               Pavarde7303              8         5         3         7         8         6         
Vardas7304               Pavarde7304              7         2         2         10        7         1         
Vardas7305               Pavarde7305              5         9         3         4         5         6         
Vardas7306               Pavarde7306              6         2         9         6         3         3         
Vardas7307               Pavarde7307              8         4         5         6         2         2         
Vardas7308               Pavarde7308              1         5         3         4         8         8         
Vardas7309               Pavarde7309              4         3         2         6         10        1         
Vardas7310               Pavarde7310              4         10        5         3         7         5         
Vardas7311               Pavarde7311              8         7         10        8         4         7         
Vardas7312               Pavarde7312              6         10        3         7         7         1         
Vardas7313               Pavarde7313              7         9         1         6         5         6         
Vardas7314               Pavarde7314              3         10        6         10        5         5         
Vardas7315               Pavarde7315              6         5         2         4         2         5         
Vardas7316               Pavarde7316              8         1         1         9         3         10        
Vardas7317               Pavarde7317              8         2         2         1         6         8         
Vardas7318               Pavarde7318              4         8         6         8         6         1         
Vardas7319               Pavarde7319              10        2         8         2         9         4         
Vardas7320               Pavarde7320              5         4         3         4         8         5         
Vardas7321               Pavarde7321              6         5         10        1         3         8         
Vardas7322               Pavarde7322              9         4         6         10        3         8         
Vardas7323               Pavarde7323              2         7         8         4         8         9         
Vardas7324               Pavarde7324              1         6         4         8         5         6         
Vardas7325               Pavarde7325              3         3         5         2         6         10        
Vardas7326               Pavarde7326              1         4         7         3         6         2         
Vardas7327               Pavarde7327              5         10        9         5         7         3         
Vardas7328               Pavarde7328              9         5         4         10        3         2         
Vardas7329               Pavarde7329              9         6         6         10        7         8         
Vardas7330               Pavarde7330              3         4         5         5         9         3         
Vardas7331               Pavarde7331              7         5         2         9         10        2         
Vardas7332               Pavarde7332              9         1         10        9         2         2         
Vardas7333               Pavarde7333              9         5         3         7         4         3         
Vardas7334               Pavarde7334              1         9         9         4         8         7         
Vardas7335               Pavarde7335              5         2         5         1         4         2         
Vardas7336               Pavarde7336              7         2         10        1         10        3         
Vardas7337               Pavarde7337              10        6         5         1         5         7         
Vardas7338               Pavarde7338              8         6         1         4         10        7         
Vardas7339               Pavarde7339              9         8         2         10        3         1         
Vardas7340               Pavarde7340              1         6         4         6         5         9         
Vardas7341               Pavarde7341              2         4         3         9         6         6         
Vardas7342               Pavarde7342              3         7         5         6         6         1         
Vardas7343               Pavarde7343              6         2         5         4         8         4         
Vardas7344               Pavarde7344              10        1         3         10        3         7         
Vardas7345               Pavarde7345              10        5         7         4         8         7         
Vardas7346               Pavarde7346              3         5         10        10        2         1         
Vardas7347               Pavarde7347              8         8         1         2         10        7         
Vardas7348               Pavarde7348              9         10        9         6         5         3         
Vardas7349               Pavarde7349              2         6         1         7         3         5         
Vardas7350               Pavarde7350              5         1         10        6         5         10        
Vardas7351               Pavarde7351              5         1         2         10        3         9         
Vardas7352               Pavarde7352              4         6         6         8         5         5         
Vardas7353               Pavarde7353              6         9         8         4         5         2         
Vardas7354               Pavarde7354              7         8         4         9         2         10        
Vardas7355               Pavarde7355              10        4         10        6         6         4         
Vardas7356               Pavarde7356              5         3         7         5         6         3         
Vardas7357               Pavarde7357              5         3         7         9         1         2         
Vardas7358               Pavarde7358              9         9         5         8         7         10        
Vardas7359               Pavarde7359              5         6         1         1         2         7         
Vardas7360               Pavarde7360              1         7         2         1         6         2         
Vardas7361               Pavarde7361              7         5         6         8         7         3         
Vardas7362               Pavarde7362              7         3         9         9         2         5         
Vardas7363               Pavarde7363              6         4         9         7         2         10        
Vardas7364               Pavarde7364              4         7         5         4         9         9         
Vardas7365               Pavarde7365              1         9         8         10        8         5         
Vardas7366               Pavarde7366              6         6         9         3         4         8         
Vardas7367               Pavarde7367              4         8         10        3         4         7         
Vardas7368               Pavarde7368              6         6         5         8         4         7         
Vardas7369               Pavarde7369              6         3         2         4         6         2         
Vardas7370               Pavarde7370              2         10        6         9         3         4         
Vardas7371               Pavarde7371              3         4         2         9         9         5         
Vardas7372               Pavarde7372              1         1         5         8         9         2         
Vardas7373               Pavarde7373              8         7         1         7         9         2         
Vardas7374               Pavarde7374              2         4         7         8         10        10        
Vardas7375               Pavarde7375              5         4         4         6         7         3         
Vardas7376               Pavarde7376              7         9         10        1         6         7         
Vardas7377               Pavarde7377              6         4         10        10        2         5         
Vardas7378               Pavarde7378              8         3         7         5         5         8         
Vardas7379               Pavarde7379              9         8         4         4         8         5         
Vardas7380               Pavarde7380              2         4         6         4         2         8         
Vardas7381               Pavarde7381              5         5         7         1         7         6         
Vardas7382               Pavarde7382              5         6         10        8         1         4         
Vardas7383               Pavarde7383              3         2         8         2         4         3         
Vardas7384               Pavarde7384              3         2         1         8         8         9         
Vardas7385               Pavarde7385              7         8         8         9         10        2         
Vardas7386               Pavarde7386              2         7         9         7         7         6         
Vardas7387               Pavarde7387              6         8         9         5         1         10        
Vardas7388               Pavarde7388              6         6         3         5         9         10        
Vardas7389               Pavarde7389              10        1         1         7         2         1         
Vardas7390               Pavarde7390              6         4         5         7         4         9         
Vardas7391               Pavarde7391              2         7         4         5         1         6         
Vardas7392               Pavarde7392              7         5         2         5         4         4         
Vardas7393               Pavarde7393              4         6         9         9         7         9         
Vardas7394               Pavarde7394              2         10        5         6         5         4         
Vardas7395               Pavarde7395              1         6         5         8         1         4         
Vardas7396               Pavarde7396              3         1         6         7         3         8         
Vardas7397               Pavarde7397              5         4         9         6         10        4         
Vardas7398               Pavarde7398              5         2         4         10        1         8         
Vardas7399               Pavarde7399              3         5         9         1         6         6         
Vardas7400               Pavarde7400              9         10        4         1         1         3         
Vardas7401               Pavarde7401              1         1         1         4         6         10        
Vardas7402               Pavarde7402              1         7         1         2         5         8         
Vardas7403               Pavarde7403              2         7         5         5         2         8         
Vardas7404               Pavarde7404              5         8         4         3         6         6         
Vardas7405               Pavarde7405              6         10        2         2         4         9         
Vardas7406               Pavarde7406              7         7         4         2         10        9         
Vardas7407               Pavarde7407              1         2         3         8         10        7         
Vardas7408               Pavarde7408              4         7         7         7         2         3         
Vardas7409               Pavarde7409              7         6         3         1         5         8         
Vardas7410               Pavarde7410              8         2         8         7         3         5         
Vardas7411               Pavarde7411              9         4         3         3         9         1         
Vardas7412               Pavarde7412              9         1         2         5         9         6         
Vardas7413               Pavarde7413              6         3         9         8         2         3         
Vardas7414               Pavarde7414              2         1         3         7         5         6         
Vardas7415               Pavarde7415              8         9         7         8         2         5         
Vardas7416               Pavarde7416              6         8         6         6         3         7         
Vardas7417               Pavarde7417              2         8         9         5         2         1         
Vardas7418               Pavarde7418              7         6         3         10        6         8         
Vardas7419               Pavarde7419              5         6         5         4         8         3         
Vardas7420               Pavarde7420              5         9         10        3         10        2         
Vardas7421               Pavarde7421              8         2         9         2         2         3         
Vardas7422               Pavarde7422              4         6         5         10        8         10        
Vardas7423               Pavarde7423              6         4         10        7         5         4         
Vardas7424               Pavarde7424              5         10        7         1         2         4         
Vardas7425               Pavarde7425              7         5         6         5         6         5         
Vardas7426               Pavarde7426              5         9         2         6         2         3         
Vardas7427               Pavarde7427              1         10        4         4         4         7         
Vardas7428               Pavarde7428              4         7         6         10        4         6         
Vardas7429               Pavarde7429              1         7         7         5         9         4         
Vardas7430               Pavarde7430              3         7         5         10        5         6         
Vardas7431               Pavarde7431              10        3         8         5         2         7         
Vardas7432               Pavarde7432              2         10        8         3         1         9         
Vardas7433               Pavarde7433              3         2         8         1         10        1         
Vardas7434               Pavarde7434              9         10        9         2         1         6         
Vardas7435               Pavarde7435              1         8         6         4         4         6         
Vardas7436               Pavarde7436              4         9         3         4         8         7         
Vardas7437               Pavarde7437              8         2         8         10        7         1         
Vardas7438               Pavarde7438              1         5         2         6         2         6         
Vardas7439               Pavarde7439              7         2         6         8         1         10        
Vardas7440               Pavarde7440              6         6         2         5         2         5         
Vardas7441               Pavarde7441              9         9         3         3         2         4         
Vardas7442               Pavarde7442              3         3         3         7         8         6         
Vardas7443               Pavarde7443              7         7         1         4         7         7         
Vardas7444               Pavarde7444              2         1         2         7         8         2         
Vardas7445               Pavarde7445              5         9         10        5         10        4         
Vardas7446               Pavarde7446              3         3         5         9         10        10        
Vardas7447               Pavarde7447              5         7         1         3         6         1         
Vardas7448               Pavarde7448              4         7         3         9         4         1         
Vardas7449               Pavarde7449              8         7         2         9         5         1         
Vardas7450               Pavarde7450              4         1         8         6         3         10        
Vardas7451               Pavarde7451              4         1         8         7         2         2         
Vardas7452               Pavarde7452              8         1         4         3         1         1         
Vardas7453               Pavarde7453              4         4         4         2         5         9         
Vardas7454               Pavarde7454              4         3         7         1         1         9         
Vardas7455               Pavarde7455              3         5         6         5         3         7         
Vardas7456               Pavarde7456              5         9         1         9         1         2         
Vardas7457               Pavarde7457              1         3         9         4         6         10        
Vardas7458               Pavarde7458              1         4         7         7         8         8         
Vardas7459               Pavarde7459              2         1         3         6         3         1         
Vardas7460               Pavarde7460              10        10        7         6         2         10        
Vardas7461               Pavarde7461              5         4         6         2         9         7         
Vardas7462               Pavarde7462              10        1         9         1         1         8         
Vardas7463               Pavarde7463              6         6         1         6         5         4         
Vardas7464               Pavarde7464              3         5         5         1         9         5         
Vardas7465               Pavarde7465              3         4         3         9         9         5         
Vardas7466               Pavarde7466              10        3         6         7         6         4         
Vardas7467               Pavarde7467              3         5         10        5         10        4         
Vardas7468               Pavarde7468              9         9         5         3         10        1         
Vardas7469               Pavarde7469              9         3         4         2         8         3         
Vardas7470               Pavarde7470              1         10        8         8         10        3         
Vardas7471               Pavarde7471              8         4         6         1         2         2         
Vardas7472               Pavarde7472              5         10        9         2         3         5         
Vardas7473               Pavarde7473              6         7         3         6         3         7         
Vardas7474               Pavarde7474              8         5         6         5         1         3         
Vardas7475               Pavarde7475              4         9         10        9         4         2         
Vardas7476               Pavarde7476              3         8         3         2         7         8         
Vardas7477               Pavarde7477              10        2         4         6         8         10        
Vardas7478               Pavarde7478              10        3         4         6         4         4         
Vardas7479               Pavarde7479              2         2         4         5         7         10        
Vardas7480               Pavarde7480              4         4         4         8         8         9         
Vardas7481               Pavarde7481              8         8         5         1         6         6         
Vardas7482               Pavarde7482              3         8         1         1         8         4         
Vardas7483               Pavarde7483              7         10        5         10        5         3         
Vardas7484               Pavarde7484              10        7         6         5         2         6         
Vardas7485               Pavarde7485              4         9         4         4         8         8         
Vardas7486               Pavarde7486              1         7         6         6         10        4         
Vardas7487               Pavarde7487              9         4         2         6         8         8         
Vardas7488               Pavarde7488              3         7         5         8         2         5         
Vardas7489               Pavarde7489              2         6         9         10        8         10        
Vardas7490               Pavarde7490              8         5         7         1         5         2         
Vardas7491               Pavarde7491              8         9         3         5         9         2         
Vardas7492               Pavarde7492              8         1         7         5         10        2         
Vardas7493               Pavarde7493              5         6         5         9         6         3         
Vardas7494               Pavarde7494              2         5         4         8         4         1         
Vardas7495               Pavarde7495              2         3         7         5         6         10        
Vardas7496               Pavarde7496              5         10        9         1         5         10        
Vardas7497               Pavarde7497              4         1         6         3         3         5         
Vardas7498               Pavarde7498              6         7         4         1         3         7         
Vardas7499               Pavarde7499              2         2         1         3         7         5         
Vardas7500               Pavarde7500              3         7         4         10        9         10        
Vardas7501               Pavarde7501              5         10        1         8         4         6         
Vardas7502               Pavarde7502              9         2         7         1         3         5         
Vardas7503               Pavarde7503              8         4         4         4         7         9         
Vardas7504               Pavarde7504              5         4         7         6         3         8         
Vardas7505               Pavarde7505              7         8         5         8         6         5         
Vardas7506               Pavarde7506              6         10        4         5         5         7         
Vardas7507               Pavarde7507              6         10        3         5         3         7         
Vardas7508               Pavarde7508              9         3         1         9         6         10        
Vardas7509               Pavarde7509              4         10        7         7         3         10        
Vardas7510               Pavarde7510              3         3         5         7         6         1         
Vardas7511               Pavarde7511              9         5         9         10        9         5         
Vardas7512               Pavarde7512              6         3         4         9         6         10        
Vardas7513               Pavarde7513              10        4         4         9         6         10        
Vardas7514               Pavarde7514              7         2         7         6         8         3         
Vardas7515               Pavarde7515              4         10        3         9         4         1         
Vardas7516               Pavarde7516              2         9         1         3         3         6         
Vardas7517               Pavarde7517              4         6         2         7         4         1         
Vardas7518               Pavarde7518              1         8         3         10        3         2         
Vardas7519               Pavarde7519              1         6         4         1         5         7         
Vardas7520               Pavarde7520              6         3         5         7         1         10        
Vardas7521               Pavarde7521              10        8         8         7         8         7         
Vardas7522               Pavarde7522              6         3         7         2         5         10        
Vardas7523               Pavarde7523              4         3         2         4         3         1         
Vardas7524               Pavarde7524              2         8         7         5         1         2         
Vardas7525               Pavarde7525              9         7         1         10        7         9         
Vardas7526               Pavarde7526              2         9         2         2         6         2         
Vardas7527               Pavarde7527              2         8         6         6         5         2         
Vardas7528               Pavarde7528              8         3         5         9         3         1         
Vardas7529               Pavarde7529              10        1         9         2         5         8         
Vardas7530               Pavarde7530              4         1         6         3         10        10        
Vardas7531               Pavarde7531              1         5         10        10        9         3         
Vardas7532               Pavarde7532              3         3         6         4         3         4         
Vardas7533               Pavarde7533              7         2         7         7         10        7         
Vardas7534               Pavarde7534              2         5         5         6         4         3         
Vardas7535               Pavarde7535              9         3         8         9         4         9         
Vardas7536               Pavarde7536              5         6         1         3         10        1         
Vardas7537               Pavarde7537              9         7         5         3         9         7         
Vardas7538               Pavarde7538              3         10        4         6         4         9         
Vardas7539               Pavarde7539              5         3         1         2         9         4         
Vardas7540               Pavarde7540              6         6         2         8         1         7         
Vardas7541               Pavarde7541              6         7         5         3         7         4         
Vardas7542               Pavarde7542              4         5         7         3         10        8         
Vardas7543               Pavarde7543              10        3         7         5         4         10        
Vardas7544               Pavarde7544              6         8         1         3         2         7         
Vardas7545               Pavarde7545              8         5         2         2         9         3         
Vardas7546               Pavarde7546              7         10        4         3         8         4         
Vardas7547               Pavarde7547              6         7         4         1         2         7         
Vardas7548               Pavarde7548              1         9         9         6         2         2         
Vardas7549               Pavarde7549              2         2         9         2         7         3         
Vardas7550               Pavarde7550              5         8         2         10        8         6         
Vardas7551               Pavarde7551              8         8         5         7         9         3         
Vardas7552               Pavarde7552              6         8         5         6         7         5         
Vardas7553               Pavarde7553              8         6         6         9         2         2         
Vardas7554               Pavarde7554              10        5         10        4         7         4         
Vardas7555               Pavarde7555              9         1         10        4         4         3         
Vardas7556               Pavarde7556              10        9         4         4         3         3         
Vardas7557               Pavarde7557              4         7         2         6         7         2         
Vardas7558               Pavarde7558              3         4         1         4         3         1         
Vardas7559               Pavarde7559              8         9         9         3         4         4         
Vardas7560               Pavarde7560              5         10        6         8         3         10        
Vardas7561               Pavarde7561              6         6         4         1         6         8         
Vardas7562               Pavarde7562              7         1         7         9         2         9         
Vardas7563               Pavarde7563              5         7         5         10        8         2         
Vardas7564               Pavarde7564              8         6         10        10        2         5         
Vardas7565               Pavarde7565              8         8         10        5         6         6         
Vardas7566               Pavarde7566              10        7         4         7         1         5         
Vardas7567               Pavarde7567              8         6         4         8         1         8         
Vardas7568               Pavarde7568              2         4         3         2         7         10        
Vardas7569               Pavarde7569              2         6         8         1         8         5         
Vardas7570               Pavarde7570              5         6         3         9         10        3         
Vardas7571               Pavarde7571              2         6         4         8         2         10        
Vardas7572               Pavarde7572              5         7         4         3         4         5         
Vardas7573               Pavarde7573              6         2         9         1         5         1         
Vardas7574               Pavarde7574              3         4         4         1         2         5         
Vardas7575               Pavarde7575              9         6         2         1         9         5         
Vardas7576               Pavarde7576              9         4         1         4         4         9         
Vardas7577               Pavarde7577              1         9         8         9         1         9         
Vardas7578               Pavarde7578              3         8         3         6         8         3         
Vardas7579               Pavarde7579              2         1         10        7         3         3         
Vardas7580               Pavarde7580              10        8         6         9         4         3         
Vardas7581               Pavarde7581              10        1         7         10        3         7         
Vardas7582               Pavarde7582              6         3         5         10        5         4         
Vardas7583               Pavarde7583              10        4         2         2         3         5         
Vardas7584               Pavarde7584              1         10        7         7         2         8         
Vardas7585               Pavarde7585              7         1         8         5         5         10        
Vardas7586               Pavarde7586              1         7         9         10        8         2         
Vardas7587               Pavarde7587              7         3         6         4         5         10        
Vardas7588               Pavarde7588              5         3         8         10        10        2         
Vardas7589               Pavarde7589              6         9         2         4         10        8         
Vardas7590               Pavarde7590              5         8         2         7         6         2         
Vardas7591               Pavarde7591              7         3         5         5         3         6         
Vardas7592               Pavarde7592              2         8         10        1         7         3         
Vardas7593               Pavarde7593              10        5         8         6         8         1         
Vardas7594               Pavarde7594              5         5         1         6         1         8         
Vardas7595               Pavarde7595              1         5         10        4         7         2         
Vardas7596               Pavarde7596              3         6         5         4         9         8         
Vardas7597               Pavarde7597              6         9         9         6         4         9         
Vardas7598               Pavarde7598              3         4         7         8         4         1         
Vardas7599               Pavarde7599              8         2         9         2         7         7         
Vardas7600               Pavarde7600              2         9         5         8         5         6         
Vardas7601               Pavarde7601              7         8         8         9         3         10        
Vardas7602               Pavarde7602              4         6         3         8         4         8         
Vardas7603               Pavarde7603              6         4         6         2         10        2         
Vardas7604               Pavarde7604              2         1         2         9         10        8         
Vardas7605               Pavarde7605              4         1         8         5         6         4         
Vardas7606               Pavarde7606              10        1         6         2         1         2         
Vardas7607               Pavarde7607              2         2         7         1         4         1         
Vardas7608               Pavarde7608              4         5         5         6         7         2         
Vardas7609               Pavarde7609              9         5         4         8         5         1         
Vardas7610               Pavarde7610              7         10        5         8         4         1         
Vardas7611               Pavarde7611              6         3         6         6         3         9         
Vardas7612               Pavarde7612              4         2         9         8         3         8         
Vardas7613               Pavarde7613              2         1         4         6         7         6         
Vardas7614               Pavarde7614              2         10        10        9         6         3         
Vardas7615               Pavarde7615              2         9         6         4         5         7         
Vardas7616               Pavarde7616              4         3         3         7         6         6         
Vardas7617               Pavarde7617              1         10        5         7         4         1         
Vardas7618               Pavarde7618              3         6         10        2         8         4         
Vardas7619               Pavarde7619              1         4         1         1         3         4         
Vardas7620               Pavarde7620              2         9         7         1         1         5         
Vardas7621               Pavarde7621              6         8         2         2         6         7         
Vardas7622               Pavarde7622              8         3         2         2         3         8         
Vardas7623               Pavarde7623              5         9         6         3         4         1         
Vardas7624               Pavarde7624              8         4         5         6         9         3         
Vardas7625               Pavarde7625              10        2         1         3         1         3         
Vardas7626               Pavarde7626              9         6         4         9         4         6         
Vardas7627               Pavarde7627              2         10        4         3         7         9         
Vardas7628               Pavarde7628              6         3         1         10        7         1         
Vardas7629               Pavarde7629              9         10        3         8         8         8         
Vardas7630               Pavarde7630              10        3         10        2         6         6         
Vardas7631               Pavarde7631              1         7         8         10        6         10        
Vardas7632               Pavarde7632              3         4         8         1         6         10        
Vardas7633               Pavarde7633              8         10        8         1         9         4         
Vardas7634               Pavarde7634              1         1         4         3         2         8         
Vardas7635               Pavarde7635              5         2         1         5         10        4         
Vardas7636               Pavarde7636              7         5         5         1         1         8         
Vardas7637               Pavarde7637              9         1         4         1         2         7         
Vardas7638               Pavarde7638              6         2         8         3         4         2         
Vardas7639               Pavarde7639              8         3         2         1         8         4         
Vardas7640               Pavarde7640              10        5         6         5         2         2         
Vardas7641               Pavarde7641              3         10        6         7         4         1         
Vardas7642               Pavarde7642              2         3         4         8         5         2         
Vardas7643               Pavarde7643              6         10        7         2         4         2         
Vardas7644               Pavarde7644              6         9         9         4         6         8         
Vardas7645               Pavarde7645              5         10        2         9         1         6         
Vardas7646               Pavarde7646              1         5         1         8         7         8         
Vardas7647               Pavarde7647              5         9         1         4         9         3         
Vardas7648               Pavarde7648              10        4         1         6         10        8         
Vardas7649               Pavarde7649              8         7         7         9         2         5         
Vardas7650               Pavarde7650              7         10        1         9         5         9         
Vardas7651               Pavarde7651              7         7         1         1         2         10        
Vardas7652               Pavarde7652              9         5         2         4         1         8         
Vardas7653               Pavarde7653              7         7         9         7         8         4         
Vardas7654               Pavarde7654              9         9         1         2         7         8         
Vardas7655               Pavarde7655              1         7         8         3         9         8         
Vardas7656               Pavarde7656              6         4         4         5         2         5         
Vardas7657               Pavarde7657              7         6         8         8         8         6         
Vardas7658               Pavarde7658              6         6         9         10        3         6         
Vardas7659               Pavarde7659              3         10        8         5         8         3         
Vardas7660               Pavarde7660              2         6         3         9         10        1         
Vardas7661               Pavarde7661              6         3         8         9         10        8         
